CodigoEstacion,NombreEstacion,Variable,Parametro,Unidad,Fecha,Valor,NivelAprobacion
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-18,3483.6,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-19,4894.8,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-20,5620.7,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-21,5178.599999999999,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-22,6894.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-23,3105.3,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-24,2814.1,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-25,5530.3,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-26,4730.5,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-27,3046.4,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-28,4985.3,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-29,7243.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-30,6782.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-03-31,4548.4,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-01,4648.7,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-02,3497.4,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-03,1166.6,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-04,3418.1,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-05,2532.8,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-06,1833.5,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-07,2544.2999999999997,Calculado
